Catégorie;Identifiant;Surface;Volume;Localisation;Matériau
Murs;4796;11.806427999999983;1.7655013076999986;Extérieur;
Murs;4927;17.142797950772522;2.4516303035323395;Extérieur;
Murs;5009;3.779992439999994;0.5646408707159984;Extérieur;
Murs;5139;11.559198097265789;1.676896129042453;Extérieur;
Murs;5203;4.988377120000015;0.7602286730880021;Extérieur;
Murs;5295;6.815203017567825;0.995956598652061;Extérieur;
Murs;5465;15.101260120000017;2.2380141046080015;Extérieur;
Murs;5548;4.633539120000005;0.7022184665280019;Extérieur;
Murs;5637;13.169005919999961;1.9929455624879977;Extérieur;
Murs;5761;19.077295560088718;2.593751743106271;Extérieur;
Murs;5878;13.76789424514786;1.6842558428823002;Extérieur;
Murs;6692;13.654230477385267;1.9530318468760128;Extérieur;
Murs;6806;32.66348098360808;4.815411819817835;Extérieur;
Murs;6927;9.11039167649449;1.334640925813325;Extérieur;
Murs;7119;14.198498025535905;1.674256055798349;Extérieur;
Murs;7296;8.500142858754721;0.9750846225456214;Extérieur;
Murs;7401;13.835180540278415;1.9083209781196533;Extérieur;
Murs;8085;17.909646797451373;2.630945764798594;Extérieur;
Murs;8188;5.572760401108018;1.0185492493396466;Extérieur;
Murs;8248;4.726513802702202;0.799160965916027;Extérieur;
Murs;8302;4.626368820284523;0.832171740144047;Extérieur;
Murs;8357;5.07250986264212;0.9987174906200463;Extérieur;
Murs;8417;7.119985759999993;1.4467811064320018;Extérieur;
Murs;8490;26.317501464876152;5.3477162976628145;Extérieur;
Murs;8606;6.285669849144141;1.2279558248340932;Extérieur;
Murs;8660;4.035050115146643;0.8199221833977969;Extérieur;
Murs;8712;3.153542079999959;0.5915074621439915;Extérieur;
Murs;8761;1.789028679999997;0.3635306277759999;Extérieur;
Murs;8809;2.7896718399999774;0.5668613178879947;Extérieur;
Murs;8858;1.6374160800000028;0.33272294745600023;Extérieur;
Murs;8911;2.621086715269858;0.5096194489217029;Extérieur;
Murs;8965;4.005942816285034;0.6853145548062518;Extérieur;
Murs;9018;4.3565887288462095;0.6738435220180776;Extérieur;
Murs;9074;3.2013631287570794;0.6505169877634376;Extérieur;
Murs;9130;16.691423742674235;3.314448566711041;Extérieur;
Murs;9256;11.430155270269683;1.4487162218148326;Intérieur;
Murs;9327;9.635464599999993;1.2237040042000025;Intérieur;
Murs;9401;8.233531920000042;1.7328690406051468;Intérieur;
Murs;9468;8.604986580340668;1.0928332957032671;Intérieur;
Murs;9527;1.023868919999999;0.1300313528399999;Intérieur;
Murs;9613;6.659018940000148;0.8456954053800164;Intérieur;
Murs;9715;19.765148138770773;2.438163746332034;Intérieur;
Murs;9810;3.591465326160226;0.4561160964223476;Intérieur;
Murs;9874;0.9759122981929327;0.10762050609544509;Intérieur;
Murs;10013;8.258379132910042;1.0443545875959308;Intérieur;
Murs;10113;2.8026250699307593;0.329087764626326;Intérieur;
Murs;10241;23.779911486270187;2.862374973144304;Intérieur;
Murs;10363;26.21903113150766;3.229294487089946;Intérieur;
Murs;10424;9.505005958682792;1.2071357567527126;Intérieur;
Murs;10483;1.2464491200000014;0.15829903824000066;Intérieur;
Murs;10652;7.535810323909723;0.9570479111365336;Intérieur;
Murs;10718;3.503149836132672;0.4449000291888494;Intérieur;
Murs;10853;9.466731357114327;1.1347402498867818;Intérieur;
Murs;10939;2.983065104501679;0.37879424561625047;Intérieur;
Murs;11140;7.984822740000018;1.2168869855760005;Extérieur;
Murs;11251;22.440431408757995;3.3754022306972638;Extérieur;
Murs;11314;3.4821435733333432;0.5306786805760013;Extérieur;
Murs;11376;2.456124120000001;0.36498497970600025;Extérieur;
Murs;11437;3.1042411033333392;0.4730863441480007;Extérieur;
Murs;13142;9.878367340000171;1.0036421217440166;Intérieur;
Murs;13199;9.26643308;0.9414696009280067;Intérieur;
Murs;13249;8.47966046000013;0.8615335027360129;Intérieur;
Murs;13300;7.867726199999998;0.7993609819200055;Intérieur;
Murs;28839;10.157962437162402;1.2900612295196288;Intérieur;
Murs;28897;1.8822169863812894;0.2390415572704234;Intérieur;
Murs;30892;4.129415154829473;0.4543279233913528;Intérieur;
Murs;33044;0.4758422904718902;0.06043197088993024;Intérieur;
Murs;109091;29.18316743999998;4.447514717855997;Extérieur;
Murs;109231;31.59581803670078;4.601878097850104;Extérieur;
Murs;109294;34.437369784217616;4.373545962595662;Intérieur;
Murs;109358;20.916547760412097;3.1876818786868033;Extérieur;
Murs;109420;15.851581200000009;2.415780974880001;Extérieur;
Murs;109484;3.856134241946136;0.44076798140198725;Intérieur;
Murs;109583;8.032195537691727;1.020088833286852;Intérieur;
Murs;109645;21.83804721877077;3.3281183961406664;Extérieur;
Murs;283029;3.037415467606473;0.3322974203007085;Intérieur;
Murs;289043;0.34856752278218084;0.04183893558262204;Intérieur;
Murs;289102;0.2524857460996505;0.027711854338171003;Intérieur;
Murs;289178;0.8875726206914759;0.10952686383307779;Intérieur;
Murs;308753;25.238659200000008;1.9231858310400005;Extérieur;
Murs;308807;16.95761013719664;1.292169892454384;Extérieur;
Murs;308880;1.559288494340252;0.07921185551248537;Extérieur;
Murs;308935;1.9277380800000132;0.09792909446399926;Extérieur;
Murs;308982;2.210247896161635;0.16842088968751653;Extérieur;
Murs;309037;0.23603331973291058;0.011990492642431945;Extérieur;
Murs;309093;0.27235519185731566;0.013310638302423223;Extérieur;
Murs;315097;0.7948401472700717;0.10094469870329861;Intérieur;
Murs;327117;10.58795447802128;1.0699898320616794;Intérieur;
Murs;327171;2.0714936667325494;0.2104637565400263;Intérieur;
